Order,Family,Subfamily,Genus,Specie,Observations,url
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys brachychirus,0,https://www.inaturalist.org/taxa/103660-Kaupichthys-brachychirus
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys diodontus,0,https://www.inaturalist.org/taxa/131415-Kaupichthys-diodontus
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys hyoproroides,0,https://www.inaturalist.org/taxa/131416-Kaupichthys-hyoproroides
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys japonicus,0,https://www.inaturalist.org/taxa/611144-Kaupichthys-japonicus
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys nuchalis,0,https://www.inaturalist.org/taxa/131419-Kaupichthys-nuchalis
Anguilliformes,Chlopsidae,,Powellichthys,Powellichthys ventriosus,0,https://www.inaturalist.org/taxa/611145-Powellichthys-ventriosus
Anguilliformes,Chlopsidae,,Robinsia,Robinsia catherinae,0,https://www.inaturalist.org/taxa/611146-Robinsia-catherinae
Anguilliformes,Chlopsidae,,Xenoconger,Xenoconger fryeri,0,https://www.inaturalist.org/taxa/611147-Xenoconger-fryeri
Anguilliformes,Colocongridae,,Coloconger,Coloconger cadenati,0,https://www.inaturalist.org/taxa/611923-Coloconger-cadenati
Anguilliformes,Colocongridae,,Coloconger,Coloconger canina,0,https://www.inaturalist.org/taxa/611924-Coloconger-canina
Anguilliformes,Colocongridae,,Coloconger,Coloconger eximia,0,https://www.inaturalist.org/taxa/611925-Coloconger-eximia
Anguilliformes,Colocongridae,,Coloconger,Coloconger japonicus,0,https://www.inaturalist.org/taxa/98299-Coloconger-japonicus
Anguilliformes,Colocongridae,,Coloconger,Coloconger meadi,0,https://www.inaturalist.org/taxa/611926-Coloconger-meadi
Anguilliformes,Colocongridae,,Coloconger,Coloconger raniceps,0,https://www.inaturalist.org/taxa/611927-Coloconger-raniceps
Anguilliformes,Colocongridae,,Coloconger,Coloconger scholesi,2,https://www.inaturalist.org/taxa/611928-Coloconger-scholesi
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma anago,1,https://www.inaturalist.org/taxa/503907-Ariosoma-anago
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma anagoides,3,https://www.inaturalist.org/taxa/469571-Ariosoma-anagoides
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma anale,0,https://www.inaturalist.org/taxa/450440-Ariosoma-anale
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma balearicum,32,https://www.inaturalist.org/taxa/120641-Ariosoma-balearicum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma bauchotae,0,https://www.inaturalist.org/taxa/611934-Ariosoma-bauchotae
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma coquettei,0,https://www.inaturalist.org/taxa/611935-Ariosoma-coquettei
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma fasciatum,5,https://www.inaturalist.org/taxa/470468-Ariosoma-fasciatum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma gilberti,0,https://www.inaturalist.org/taxa/94638-Ariosoma-gilberti
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma hemiaspidus,0,https://www.inaturalist.org/taxa/317485-Ariosoma-hemiaspidus
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma howensis,0,https://www.inaturalist.org/taxa/559114-Ariosoma-howensis
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma major,0,https://www.inaturalist.org/taxa/611936-Ariosoma-major
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma marginatum,3,https://www.inaturalist.org/taxa/194539-Ariosoma-marginatum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma mauritianum,0,https://www.inaturalist.org/taxa/503909-Ariosoma-mauritianum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma meeki,0,https://www.inaturalist.org/taxa/503908-Ariosoma-meeki
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma megalops,0,https://www.inaturalist.org/taxa/611937-Ariosoma-megalops
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma mellissii,0,https://www.inaturalist.org/taxa/611938-Ariosoma-mellissii
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma multivertebratum,0,https://www.inaturalist.org/taxa/611939-Ariosoma-multivertebratum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma nigrimanum,0,https://www.inaturalist.org/taxa/611940-Ariosoma-nigrimanum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma obud,0,https://www.inaturalist.org/taxa/611941-Ariosoma-obud
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma ophidiophthalmus,0,https://www.inaturalist.org/taxa/611942-Ariosoma-ophidiophthalmus
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma opistophthalmum,0,https://www.inaturalist.org/taxa/611943-Ariosoma-opistophthalmum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma prorigerum,0,https://www.inaturalist.org/taxa/94639-Ariosoma-prorigerum
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma sanzoi,0,https://www.inaturalist.org/taxa/611944-Ariosoma-sanzoi
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma sazonovi,0,https://www.inaturalist.org/taxa/611945-Ariosoma-sazonovi
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma scheelei,1,https://www.inaturalist.org/taxa/611946-Ariosoma-scheelei
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma selenops,0,https://www.inaturalist.org/taxa/94640-Ariosoma-selenops
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma sereti,0,https://www.inaturalist.org/taxa/611947-Ariosoma-sereti
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma shiroanago,0,https://www.inaturalist.org/taxa/611948-Ariosoma-shiroanago
Anguilliformes,Congridae,Bathymyrinae,Ariosoma,Ariosoma sokotranum,0,https://www.inaturalist.org/taxa/611949-Ariosoma-sokotranum
Anguilliformes,Congridae,Bathymyrinae,Bathymyrus,Bathymyrus echinorhynchus,0,https://www.inaturalist.org/taxa/437670-Bathymyrus-echinorhynchus
Anguilliformes,Congridae,Bathymyrinae,Bathymyrus,Bathymyrus simus,0,https://www.inaturalist.org/taxa/437671-Bathymyrus-simus
Anguilliformes,Congridae,Bathymyrinae,Bathymyrus,Bathymyrus smithi,0,https://www.inaturalist.org/taxa/437672-Bathymyrus-smithi
Anguilliformes,Congridae,Bathymyrinae,Chiloconger,Chiloconger dentatus,0,https://www.inaturalist.org/taxa/97384-Chiloconger-dentatus
Anguilliformes,Congridae,Bathymyrinae,Chiloconger,Chiloconger philippinensis,0,https://www.inaturalist.org/taxa/611952-Chiloconger-philippinensis
Anguilliformes,Congridae,Bathymyrinae,Kenyaconger,Kenyaconger heemstrai,0,https://www.inaturalist.org/taxa/612010-Kenyaconger-heemstrai
Anguilliformes,Congridae,Bathymyrinae,Parabathymyrus,Parabathymyrus brachyrhynchus,0,https://www.inaturalist.org/taxa/612014-Parabathymyrus-brachyrhynchus
Anguilliformes,Congridae,Bathymyrinae,Parabathymyrus,Parabathymyrus fijiensis,0,https://www.inaturalist.org/taxa/612015-Parabathymyrus-fijiensis
Anguilliformes,Congridae,Bathymyrinae,Parabathymyrus,Parabathymyrus karrerae,0,https://www.inaturalist.org/taxa/612016-Parabathymyrus-karrerae
Anguilliformes,Congridae,Bathymyrinae,Parabathymyrus,Parabathymyrus macrophthalmus,0,https://www.inaturalist.org/taxa/612017-Parabathymyrus-macrophthalmus
