Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Labridae,Xyrichtyinae,Iniistius,Iniistius pavo,141,https://www.inaturalist.org/taxa/103436-Iniistius-pavo
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres nicholsi,139,https://www.inaturalist.org/taxa/56919-Halichoeres-nicholsi
Perciformes,Chaetodontidae,,Heniochus,Heniochus intermedius,137,https://www.inaturalist.org/taxa/102634-Heniochus-intermedius
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus axillaris,129,https://www.inaturalist.org/taxa/95813-Bodianus-axillaris
Salmoniformes,Salmonidae,Thymallinae,Thymallus,Thymallus thymallus,127,https://www.inaturalist.org/taxa/114127-Thymallus-thymallus
Perciformes,Labridae,Corinae,Anampses,Anampses caeruleopunctatus,126,https://www.inaturalist.org/taxa/94016-Anampses-caeruleopunctatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon wiebeli,126,https://www.inaturalist.org/taxa/97210-Chaetodon-wiebeli
Perciformes,Labridae,Corinae,Coris,Coris batuensis,125,https://www.inaturalist.org/taxa/98503-Coris-batuensis
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus dictynna,123,https://www.inaturalist.org/taxa/95820-Bodianus-dictynna
Perciformes,Labridae,Corinae,Coris,Coris sandeyeri,123,https://www.inaturalist.org/taxa/98518-Coris-sandeyeri
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon semilarvatus,121,https://www.inaturalist.org/taxa/97199-Chaetodon-semilarvatus
Salmoniformes,Salmonidae,Salmoninae,Salmo,Salmo marmoratus,121,https://www.inaturalist.org/taxa/111946-Salmo-marmoratus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma purpureum,120,https://www.inaturalist.org/taxa/113985-Thalassoma-purpureum
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres nebulosus,120,https://www.inaturalist.org/taxa/102063-Halichoeres-nebulosus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres semicinctus,120,https://www.inaturalist.org/taxa/102081-Halichoeres-semicinctus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres tenuispinis,120,https://www.inaturalist.org/taxa/102086-Halichoeres-tenuispinis
Perciformes,Chaetodontidae,,Forcipiger,Forcipiger longirostris,119,https://www.inaturalist.org/taxa/100991-Forcipiger-longirostris
Salmoniformes,Salmonidae,Thymallinae,Thymallus,Thymallus arcticus,118,https://www.inaturalist.org/taxa/51361-Thymallus-arcticus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma quinquevittatum,117,https://www.inaturalist.org/taxa/58467-Thalassoma-quinquevittatum
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma nigrofasciatum,117,https://www.inaturalist.org/taxa/113983-Thalassoma-nigrofasciatum
Perciformes,Labridae,Cheilininae,Pteragogus,Pteragogus enneacanthus,115,https://www.inaturalist.org/taxa/111180-Pteragogus-enneacanthus
Perciformes,Labridae,Corinae,Stethojulis,Stethojulis balteata,114,https://www.inaturalist.org/taxa/113201-Stethojulis-balteata
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres marginatus,112,https://www.inaturalist.org/taxa/102056-Halichoeres-marginatus
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus mesothorax,112,https://www.inaturalist.org/taxa/95831-Bodianus-mesothorax
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon bennetti,110,https://www.inaturalist.org/taxa/97147-Chaetodon-bennetti
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon adiergastos,110,https://www.inaturalist.org/taxa/97139-Chaetodon-adiergastos
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon multicinctus,109,https://www.inaturalist.org/taxa/97181-Chaetodon-multicinctus
Perciformes,Labridae,Cheilininae,Cirrhilabrus,Cirrhilabrus temminckii,109,https://www.inaturalist.org/taxa/97869-Cirrhilabrus-temminckii
