Genus,Count,Weight
Pylodictis,473,1.9659731212338527
Rachycentron,149,6.240975076131626
Rhabdosargus,326,2.8524702035080134
Rhinecanthus,1334,0.6970804245454365
Rhinichthys,1991,0.46705438791743464
Rhinogobiops,246,3.780102790014684
Rhinogobius,795,1.1696921840800154
Rhinomuraena,293,3.1737381786471413
Rutilus,590,1.576110654819682
Salmo,3413,0.2724597967605076
Salvelinus,3186,0.2918723434851263
Sander,1028,0.9045771267933972
Sargocentron,612,1.5194530822608046
Sarotherodon,147,6.325886301657227
Sarpa,995,0.9345781772297611
Scardinius,627,1.4831025300536083
Scarus,4565,0.20370323906760401
Scatophagus,174,5.344283254848347
Schuettea,524,1.7746284090526954
Sciaenops,933,0.9966830507434216
Scobinichthys,459,2.025937443014406
Scolopsis,575,1.6172265849454128
Scomber,429,2.1676113900783505
Scomberomorus,209,4.449307590160824
Scorpaena,2633,0.3531732952311479
Scorpaenichthys,567,1.6400445967259476
Scorpaenopsis,263,3.5357615450327464
Scorpis,1132,0.8214711010102582
Sebastes,1063,0.8747933079431913
Sebastiscus,113,8.229250321624887
Selaroides,17,54.70031096138896
Selene,150,6.199368575624082
Semotilus,3411,0.27261955037924723
Seriola,656,1.4175385462555066
Serranus,1129,0.8236539294451837
Sicyopterus,303,3.0689943443683574
Siganus,1082,0.8594318727759819
Sillago,338,2.751199072022522
Silurus,196,4.74441472624292
Solenostomus,682,1.3634974873073495
Sparisoma,1855,0.5012966503200067
Sparus,253,3.675514965785029
Sphoeroides,1441,0.6453194214737074
Sphyraena,1903,0.48865227868818306
Squalius,1166,0.7975173982363742
Stegastes,1929,0.48206598566283687
Stenotomus,258,3.6042840555953966
Stephanolepis,151,6.1583131545934595
Stethojulis,528,1.7611842544386598
Stigmatopora,323,2.8789637348099455
Strongylura,420,2.2140602055800294
Sufflamen,683,1.3615011513083637
Synanceia,168,5.535150513950073
Syngnathus,872,1.0664051448894636
Synodus,1092,0.8515616175307805
Systomus,649,1.4328278680178927
Taeniamia,117,7.947908430287285
Taenianotus,518,1.795183950470294
Takifugu,92,10.107666155908829
Taurulus,229,4.060721774426255
Telestes,157,5.922963607284155
Terapon,302,3.0791565772967298
Tetractenos,1263,0.7362670517368268
Thalassoma,5595,0.16620291087464029
Thunnus,145,6.413139905818016
Thymallus,239,3.890817097672018
Tilapia,252,3.6901003426333823
Tilodon,670,1.3879183378262872
Tinca,262,3.5492568181053907
Torquigener,284,3.2743143885338464
Trachelochismus,207,4.492296069292813
Trachinops,444,2.0943812755486766
Trachinotus,583,1.5950347964727485
Trachurus,771,1.2061028357245296
Trachyrhamphus,149,6.240975076131626
Trichiurus,212,4.386345690300058
Trichopodus,91,10.218739410369366
Trinectes,152,6.117797936471134
Tylosurus,241,3.858528159102126
Umbra,586,1.5868690893235706
Upeneichthys,1451,0.640872009885329
Upeneus,234,3.9739542151436424
Valenciennea,346,2.687587532785007
Variola,189,4.920133790177843
Xiphister,173,5.375175065570014
Xiphophorus,668,1.3920737819515154
Zanclus,1966,0.4729935332368323
Zebrasoma,1503,0.618699458645118
